"literal","code","standard","contributor","province"
"'s-graveland","390","'s-Graveland","cedarproject","Noord-Holland"
"'s-graveland","1696","Wijdemeren","cedarproject","Noord-Holland"
"'s-gravenambacht","1320","'s-Gravenambacht","cedarproject","Zuid-Holland"
"'s-gravendeel","517","'s-Gravendeel","cedarproject","Zuid-Holland"
"'s-gravenhage","518","'s-Gravenhage","cedarproject","Zuid-Holland"
"'s-gravenmoer","787","'s-Gravenmoer","cedarproject","Noord-Brabant"
"'s-gravenpolder","666","'s-Gravenpolder","cedarproject","Zeeland"
"'s-gravenzande","519","'s-Gravenzande","cedarproject","Zuid-Holland"
"'s-gravesloot","1321","'s-Gravesloot","cedarproject","Utrecht"
"'s-heer abtskerke","669","'s-Heer Abtskerke","cedarproject","Zeeland"
"'s-heer arendskerke","670","'s-Heer Arendskerke","cedarproject","Zeeland"
"'s-heer hendrikskinderen","1326","'s-Heer Hendrikskinderen","cedarproject","Zeeland"
"'s-heerenberg","207","Bergh","cedarproject","Gelderland"
"'s-heerenberg","1955","Montferland","cedarproject","Gelderland"
"'s-heerenhoek","671","'s-Heerenhoek","cedarproject","Zeeland"
"'s-hertogenbosch","796","'s-Hertogenbosch","cedarproject","Noord-Brabant"
"'t zandt","54","'t Zandt","cedarproject","Groningen"
"aa en hunze","1680","Aa en Hunze","cedarproject","Drenthe"
"aa en hunze","105","Anloo","cedarproject","Drenthe"
"aagtekerke","1000","Aagtekerke","cedarproject","Zeeland"
"aalburg","738","Aalburg","cedarproject","Noord-Brabant"
"aalburg","876","Wijk en Aalburg","cedarproject","Noord-Brabant"
"aalsmeer","358","Aalsmeer","cedarproject","Noord-Holland"
"aalst","1001","Aalst [NB]","cedarproject","null"
"aalten","197","Aalten","cedarproject","Gelderland"
"aardenburg","648","Aardenburg","cedarproject","Zeeland"
"aardenburg","1698","Sluis-Aardenburg","cedarproject","Zeeland"
"aarlanderveen","1002","Aarlanderveen","cedarproject","Zuid-Holland"
"aarle-rixtel","739","Aarle-Rixtel","cedarproject","Noord-Brabant"
"abbekerk","359","Abbekerk","cedarproject","Noord-Holland"
"abbenbroek","481","Abbenbroek","cedarproject","Zuid-Holland"
"abcoude","305","Abcoude [2]","cedarproject","null"
"abcoude","1004","Abcoude-Proostdij","cedarproject","Utrecht"
"abcoude-baambrugge","1003","Abcoude-Baambrugge","cedarproject","Utrecht"
"abcoude-proostdij","305","Abcoude [2]","cedarproject","null"
"abcoude-proostdij","1004","Abcoude-Proostdij","cedarproject","Utrecht"
"abtsregt","1301","Abtsregt","cedarproject","Zuid-Holland"
"achthoven","1302","Achthoven","cedarproject","Utrecht"
"achtkarspelen","59","Achtkarspelen","cedarproject","Friesland"
"achttienhoven","1303","Achttienhoven [ZH]","cedarproject","null"
"ackersdijk en vrouwenregt","1304","Ackersdijk en Vrouwenregt","cedarproject","Zuid-Holland"
"adorp","1","Adorp","cedarproject","Groningen"
"aduard","2","Aduard","cedarproject","Groningen"
"aengwirden","1006","Aengwirden","cedarproject","Friesland"
"akersloot","360","Akersloot","cedarproject","Noord-Holland"
"akkrum","95","Utingeradeel","cedarproject","Friesland"
"alblasserdam","482","Alblasserdam","cedarproject","Zuid-Holland"
"albrandswaard","477","Albrandswaard [1]","cedarproject","null"
"albrandswaard","613","Albrandswaard [2]","cedarproject","null"
"alem, maren en kessel","1007","Alem, Maren en Kessel","cedarproject","Noord-Brabant"
"alkemade","483","Alkemade","cedarproject","Zuid-Holland"
"alkmaar","361","Alkmaar","cedarproject","Noord-Holland"
"almelo","141","Almelo [2]","cedarproject","null"
"almelo","1189","Stad Almelo","cedarproject","Overijssel"
"almere","34","Almere","cedarproject","Flevoland"
"almkerk","740","Almkerk","cedarproject","Noord-Brabant"
"alphen aan den rijn","1008","Alphen","cedarproject","Gelderland"
"alphen aan den rijn","484","Alphen aan den Rijn","cedarproject","Zuid-Holland"
"alphen en riel","1723","Alphen-Chaam","cedarproject","Noord-Brabant"
"alphen en riel","741","Alphen en Riel","cedarproject","Noord-Brabant"
"alphen-chaam","1723","Alphen-Chaam","cedarproject","Noord-Brabant"
"alphen-chaam","741","Alphen en Riel","cedarproject","Noord-Brabant"
"ambt almelo","1009","Ambt Almelo","cedarproject","Overijssel"
"ambt delden","142","Ambt Delden","cedarproject","Overijssel"
"ambt doetinchem","1010","Ambt Doetinchem","cedarproject","Gelderland"
"ambt doetinchem","222","Doetinchem","cedarproject","Gelderland"
"ambt hardenberg","1011","Ambt Hardenberg","cedarproject","Overijssel"
"ambt hardenberg","160","Hardenberg [2]","cedarproject","null"
"ambt montfort","1679","Ambt Montfort","cedarproject","Limburg"
"ambt montfort","956","Posterholt","cedarproject","Limburg"
"ambt ommen","1012","Ambt Ommen","cedarproject","Overijssel"
"ambt ommen","175","Ommen [2]","cedarproject","null"
"ambt vollenhove","1013","Ambt Vollenhove","cedarproject","Overijssel"
"ambt vollenhove","194","Brederwiede","cedarproject","Overijssel"
"ambt vollenhove","185","Vollenhove [2]","cedarproject","null"
"amby","883","Amby","cedarproject","Limburg"
"ameide","485","Ameide","cedarproject","Zuid-Holland"
"ameland","60","Ameland","cedarproject","Friesland"
"amerongen","306","Amerongen","cedarproject","Utrecht"
"amersfoort","307","Amersfoort","cedarproject","Utrecht"
"ammerstol","486","Ammerstol","cedarproject","Zuid-Holland"
"ammerzoden","198","Ammerzoden","cedarproject","Gelderland"
"amstelveen","362","Amstelveen","cedarproject","Noord-Holland"
"amstelveen","1249","Nieuwer-Amstel","cedarproject","Noord-Holland"
"amstenrade","884","Amstenrade","cedarproject","Limburg"
"amsterdam","363","Amsterdam","cedarproject","Noord-Holland"
"andel","742","Andel","cedarproject","Noord-Brabant"
"andijk","364","Andijk","cedarproject","Noord-Holland"
"angerlo","199","Angerlo","cedarproject","Gelderland"
"ankeveen","1014","Ankeveen","cedarproject","Noord-Holland"
"anloo","1680","Aa en Hunze","cedarproject","Drenthe"
"anloo","105","Anloo","cedarproject","Drenthe"
"anna paulowna","366","Anna Paulowna","cedarproject","Noord-Holland"
"apeldoorn","200","Apeldoorn","cedarproject","Gelderland"
"appeltern","201","Appeltern","cedarproject","Gelderland"
"appingedam","3","Appingedam","cedarproject","Groningen"
"arcen en velden","885","Arcen en Velden","cedarproject","Limburg"
"arkel","487","Arkel","cedarproject","Zuid-Holland"
"arnemuiden","649","Arnemuiden","cedarproject","Zeeland"
"arnhem","202","Arnhem","cedarproject","Gelderland"
"asperen","488","Asperen","cedarproject","Zuid-Holland"
"assen","106","Assen","cedarproject","Drenthe"
"assendelft","367","Assendelft","cedarproject","Noord-Holland"
"asten","743","Asten","cedarproject","Noord-Brabant"
"avenhorn","368","Avenhorn","cedarproject","Noord-Holland"
"avereest","143","Avereest","cedarproject","Overijssel"
"axel","650","Axel","cedarproject","Zeeland"
"baambrugge","1003","Abcoude-Baambrugge","cedarproject","Utrecht"
"baarderadeel","61","Baarderadeel","cedarproject","Friesland"
"baarderadeel","103","Littenseradeel","cedarproject","Friesland"
"baarderadeel","140","Littenseradiel","cedarproject","Friesland"
"baardwijk","1015","Baardwijk","cedarproject","Noord-Brabant"
